Nombre,Desc Corta,Capacidad,Alto,Ancho,Fondo,Colores,Descripcion,Imagen1,Imagen2,Imagen3,Imagen4,Categoria,Archivo
TAMBO 200,,200 LTS,91.0 cm,58.6 cm,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos tapones de 2’’ para un fácil llenado y vaciado de líquidos y solventes. Su diseño es especial para industrias y lugares donde se almacenen sustancias y productos químicos,32,32_2,32_3,32_4,Tambo,TAMBO 200.pdf
TAPA RECICLA PRO-47,,,2.5 cm,36.0 cm,51.0 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO? NEGRO Y GRIS CLARO,esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Se fabrican en varios colores para ayuda a sus necesidades. Son de gran utilidad en hogares? oficinas? escuelas? hospitales y lugares internos.,33,,,,Tapa,TAPA RECICAJA.pdf
TARIMA PRO-TAR2-200,,200 LTS,25.5 cm,71.5 cm,133.0 cm,AMARILLO CON REJILLA NEGRA,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Rejilla superior acanalada para recolector de líquidos hasta 87 lts Cuenta con entradas para utilizarlas con montacargas y estivarlas. Su capacidad es para dos tambos de 200 lts Se fabrican en color amarillo con rejilla negra. Son de gran utilidad a nivel industria y donde utilizan químicos y derivados.,34,,,,Plataforma,TARIMA 2-200.pdf
TARIMA PRO-TAR4-200,,200 LTS,30.5 cm,135.0 cm,135.0 cm,AMARILLO CON REJILLA NEGRA,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Rejilla superior acanalada para recolector de líquidos hasta 150 lts Cuenta con entradas para utilizarlas con montacargas y estivarlas. Su capacidad es para cuatro tambos de 200 lts Se fabrican en color amarillo con rejilla negra. Son de gran utilidad a nivel industria y donde utilizan químicos y derivados.,35,35_2,,,Plataforma,TARIMA 4-200.pdf
TRAFITAMBO,,,102.0 cm,45 - 60 cm,,NARANJA,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Su diseño es especial para delimitar áreas en lugares laborales o de nuestra ciudad,36,36_2,,,Otros,TRAFITAMBO.pdf
TREN CONTIN 120,,120 LTS c/u,113.0 cm,192.0 cm,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con tapa individuales? lleva dos llantas giratorias y dos fijas para un mejor desplazamiento y un maneral para su manipulación. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en escuelas? centros comerciales e industrias.,37,,,,Otros,TREN CONTIN 120.pdf
CONTENEDOR TS-EXPRESS,,90 LTS,112 cm,45 cm,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con cenicero de acero inoxidable opcional? su tapa es desmontable y tiene sujetadores para su seguridad. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en tiendas? escuelas? hospitales? empresas? oficinas y andadores.,38,38_2,,,Contenedor,TS-EXPRESS.pdf
CONTENEDOR VOLTEO PRO-500,,500 LTS,98.0 cm,80.0 cm,139.5 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Fácil vaciado inclinable al frente? cuenta con estructura tubular de refuerzo. Se fabrican en colores que ayudan a la clasificación de los desechos y/o equipo de trabajo. Son de gran utilidad en hospitales? hoteles e industria en general.,39,39_2,,,Contenedor,VOLTEO 500.pdf
CONTENEDOR VOLTEO PRO-750,,750 LTS,112.0 cm,87.0 cm,156.0 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Fácil vaciado inclinable al frente? cuenta con estructura tubular de refuerzo. Se fabrican en colores que ayudan a la clasificación de los desechos y/o equipo de trabajo. Son de gran utilidad en hospitales? hoteles e industria en general,40,40_2,40_3,40_4,Contenedor,VOLTEO 750.pdf
CONTENEDOR VOLTEO PRO-1000,,1000 LTS,105.0 cm,95.0 cm,195.0 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Fácil vaciado inclinable al frente? cuenta con estructura tubular de refuerzo. Se fabrican en colores que ayudan a la clasificación de los desechos y/o equipo de trabajo. Son de gran utilidad en hospitales? hoteles e industria en general,41,41_2,,,Contenedor,VOLTEO 1000.pdf
